"","P1","P10","P2","P3","P4","P5","P6","P7","P8","P9"
"ENSMUSG00000038127",850.015962410041,700.051192512278,732.017268815365,690.982103603163,623.00526119474,601.012282820531,470.004895017698,431.004860347937,527.020392452035,560.019402554514
"ENSMUSG00000038128",65,16,9,18,13,5,11,4,6,19
"ENSMUSG00000038132",1,25,6,14,24,16,20,19,36,25
"ENSMUSG00000038135",0,0,0,0,1,0,1,0,0,0
"ENSMUSG00000038141",703.635762257611,1038.85976942246,933.063698880102,771.177209668724,1043.26557621067,751.170786215092,739.953957428942,749.28685780985,685.292834780603,612.290049648476
"ENSMUSG00000038143",59.0072064930978,500.007604939493,123,344,524.073988027815,223.514264384214,387.713414657025,422.044190540872,449,311.0172180743
"ENSMUSG00000038145",625.842914014929,889,639,620.885310373226,865.794741608897,632,752.411584835571,629.746420718274,731.574044632094,675
"ENSMUSG00000038146",87,209,50,136,243,114,165,183,137,157
"ENSMUSG00000038147",228.01226114876,78.0001086786739,8.2125828758013,103.000266043519,82.0000889014995,126,76,29.0000913776872,56.1288617875037,83.0000821656206
"ENSMUSG00000038148",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000038150",783,1310,1172,1084,1825,1567,1312,1108,1187,961
"ENSMUSG00000038151",134,140,54,98,99,97,112,111,94,89
"ENSMUSG00000038152",9,58,31,49,72,39,50,48,55,37
"ENSMUSG00000038155",721.993473441954,128.903326894321,1342.27500936618,179.12607595288,214.936042540086,283.868063328657,187.808120722394,49.5185951747317,3.79045214498648,54.966252725605
"ENSMUSG00000038156",232,95,9,71,81,116,31,44,24,91
"ENSMUSG00000038160",466,423,606,377,448,419,289,293,396,254
"ENSMUSG00000038165",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038167",575,36,940,189,191,185,36,17,28,15
"ENSMUSG00000038168",36.0016622718803,165.006954680833,32.0007216679951,97.0061405969966,129.005492688615,59.003940542406,109.007584408022,108.010088228699,111.006344157986,76.0054899288052
"ENSMUSG00000038170",1015,2633.300618447,1557.17433968748,2036.42361259506,2791.83156826631,1679.79830252267,1985.85347330329,2017.83651123904,2332.75836107039,1810.85103356579
"ENSMUSG00000038172",561.943300618062,1376.06598422824,864.300907866214,1340.84249070285,1559.50171711531,876.185045726717,1140.48664120576,1150.13615626114,1455.94187150925,999.971704952748
"ENSMUSG00000038173",3,54,7,37,81,41,50,42,25,25
"ENSMUSG00000038174",290,490,419.000284896469,396,521,286,280,341,518,351
"ENSMUSG00000038175",217,151.149981272181,42.0032109527341,122,140.524559020557,157.00384201308,147,106.273201807811,103.002670454276,134.763324179585
"ENSMUSG00000038178",3078.87707891255,2202.02995680236,3775.03102139249,2223.89392820973,2869.89119931829,2040.55301173933,2227.70481588808,1873.02673825207,2217.33717721703,1862.87525047887
"ENSMUSG00000038179",419,75,29,161,63,150,38,29,29,64
"ENSMUSG00000038180",0,4.39078749104363,1,0,1.21190733689059,1,4,2.67104098283906,6,2
"ENSMUSG00000038181",267,489,340,397,556,474,519,393,391,393
"ENSMUSG00000038187",122,251,124.000076088308,205.041070672241,265.132784956747,205,181,128,199.05542679209,162
"ENSMUSG00000038188",63,44,48,25,49,44,33,30,11,22
"ENSMUSG00000038192",0,8.04446913705261,3.00828135995431,14.0297869817914,9.07345189338134,5.01672691923396,6.01481954251109,6.08141494624616,5.03813673762145,9.09981237440436
"ENSMUSG00000038193",10,44,14,30,15,24,18,17,13,23
"ENSMUSG00000038195",90,6,171,35,31,32,17,8,7,8
"ENSMUSG00000038199",0,0,0,0,1,4,0,0,1,0
"ENSMUSG00000038201",4,2,1,0,0,0,0,0,4,5
"ENSMUSG00000038203",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038204",0,0,1,0,1,1,3,0,0,0
"ENSMUSG00000038205",85,192,80,157,222,159,134,134,127,153
"ENSMUSG00000038206",464,453,681,423,572,488,364,316,431,318
"ENSMUSG00000038208",298,243,449,241,308,267,208,162,215,160
"ENSMUSG00000038209",114,0,2822,274,127,453,42,0,0,0
"ENSMUSG00000038210",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000038212",611,596,797,597,685,514,455,451,643,491
"ENSMUSG00000038213",742.659136023032,564.92454345465,774.245271475089,541.03672863548,816.403000262326,680.997248087849,523.188149680222,408.088440195186,420.094064963477,381.136200446591
"ENSMUSG00000038214",73.00935649994,164.179276046324,133.479667116582,103.003295514818,120.528593709776,107.080490257774,135.883129899601,129.00644903917,107.004797945384,148.321420034656
"ENSMUSG00000038215",68.0153917166745,129.025562102573,125.93678432897,108.001330546912,141.728182817261,121.000857290947,118.000398980767,100.812787116189,150.025553352636,122.937399062268
"ENSMUSG00000038216",0,1,0,0,0,0,0,0,1,0
"ENSMUSG00000038217",158.077178789636,17.7876097369586,240.010575127116,70,95.4783830416506,70.9344031163515,15,19,18.0002928823921,18.9519089303782
"ENSMUSG00000038218",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038224",12,0,52,12,12,19,5,1,4,2
"ENSMUSG00000038225",168,81,197,131,103,118,55,63,59,83
"ENSMUSG00000038227",2,0,0,1,1,0,0,0,0,2
"ENSMUSG00000038233",6.00024979781389,0,9.00013678780287,11.0003214311236,3.72260983552186,1,2.32048644386874,0,1,1.27814648691477
"ENSMUSG00000038235",1159.48096376783,682.897877783277,1821.98627795373,826.126460448228,959.348903889995,915.35388966717,739.400442660673,495.675728926451,584.017251742368,626.369176927726
"ENSMUSG00000038236",17,7,1,7,6,8,9,3,2,6
"ENSMUSG00000038239",2,7,3,4,3,1,0,1,2,7
"ENSMUSG00000038240",173.018803656586,101.008714910118,311.05574153718,77.0054372472453,127.000519645289,148.006238179383,80.0004196808803,77,90.0122931019963,65
"ENSMUSG00000038241",286,345,269,259,320,295,246,217,269,171
"ENSMUSG00000038242",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038244",714.000170896274,614.128511602374,1163,666.001072399418,775,511.057445066041,534.000000184705,445,525,446
"ENSMUSG00000038246",0,0,0,1,1,0,0,0,0,0
"ENSMUSG00000038248",35,425,85,291,445,247,294,288,362,292
"ENSMUSG00000038250",558,470,539,419,503,383,328,307,401,347
"ENSMUSG00000038252",504,213,740,254,236,351,192,219,192,156
"ENSMUSG00000038253",9,6,4,2,7,9,4,8,3,11
"ENSMUSG00000038255",1.0000483618871,0,6.00014172479506,0,0,1.00038422185846,0,0,0,0
"ENSMUSG00000038256",255,1157,450,729,1178,670,908,888,994,780
"ENSMUSG00000038257",0,0,1,0,0,0,4,0,0,1
"ENSMUSG00000038259",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038260",899.001069959191,195.018689032354,1562.04100932236,398,423,404,186.009213025077,143,179,188.016717058642
"ENSMUSG00000038264",276,282,283,197,203,252,311,231,238,392
"ENSMUSG00000038267",453,1711,989,1542,2440,1103,1481,1537,1596,1209
"ENSMUSG00000038268",151.433288528492,394.178648478145,245.056595947733,322.608630720044,451.423042752877,383.433750990912,312.201631123506,296.704535614639,327.642087749157,274.256788007073
"ENSMUSG00000038271",121.462863893627,482.041534624044,74.0000296968174,319.048276943275,493.133201757557,343,389.131528276818,382.988901853877,325.136727598999,319.908876304844
"ENSMUSG00000038274",5505,2581,6914,2857,3193,5183,2891,1632,1994,2404
"ENSMUSG00000038276",4,1,8,1,0,1,0,1,3,0
"ENSMUSG00000038279",377,315,428,276,263,295,247,197,235,255
"ENSMUSG00000038280",326.187146468775,544.000747628075,221.000228655143,390.000423441608,575.17677870744,458.086015207298,389.000945259546,404.905919687009,423.000192565141,364.177881431156
"ENSMUSG00000038286",173,301,337,267,314,314,285,239,265,246
"ENSMUSG00000038290",422,517,528,518,612,445,480,401,552,430
"ENSMUSG00000038291",648,390,833,492,524,527,327,286,389,347
"ENSMUSG00000038292",0,4.07509859522072,0,4,1,2,7,3,2,2.05513178110846
"ENSMUSG00000038295",14,11,6,12,16,14,27,10,9,15
"ENSMUSG00000038296",36,1038,61,215,290,353,765,603,873,1075
"ENSMUSG00000038298",1171,59,1369,320,367,403,43,12,29,6
"ENSMUSG00000038299",386,437,513,388,467,422,405,338,401,392
"ENSMUSG00000038300",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038301",182,457.393156998619,250.924415085506,345.755726800938,411,316,411.314355072981,331.770788349064,430,477
"ENSMUSG00000038302",184,156,327,140,225,206,176,155,150,108
"ENSMUSG00000038304",35,4,17,3,7,7,0,3,1,4
"ENSMUSG00000038305",54,23,403,81,47,74,18,20,6,11
"ENSMUSG00000038311",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038312",1567,1941,1494.11963338073,1568,3097,2403,2598,2017,1891,2322
"ENSMUSG00000038319",81,1029,262,753,1395,909,950,803.757284404679,900,627
"ENSMUSG00000038323",76,98,73,105,135,103,58,78,91,83
"ENSMUSG00000038324",1371.34731368586,2012.39813386149,1732.00046954356,1590.27645695127,2255.0339463697,1989.00234110494,1896,1616.29493097208,1651,1680.8790283296
"ENSMUSG00000038327",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038330",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038331",11.0062111066818,5,33,16.0010420578595,13.0006313722248,2,4,7.00052022560508,5,9
"ENSMUSG00000038332",936,817,1271,625,768,726,1074,865,992,1675
"ENSMUSG00000038335",382,669,512,518,754,629,594,498,547,643
"ENSMUSG00000038342",943.907356948263,1383.06149352298,1720.03490392742,1086.58020193552,1211.04858392664,829.253381337101,1271.02379154083,1159.01985020611,1244.35199348426,1385.01394192635
"ENSMUSG00000038344",251,273,329,184,263,212,186,215,224,252
"ENSMUSG00000038346",619,571,797,487,604,474,486,470,450,490
"ENSMUSG00000038347",4,29,13,29,33,24.9910791084615,18,19,39,23
"ENSMUSG00000038349",45.0195619936811,31.0114236800585,10.0042253395888,33.0116545967023,27.0143760111735,20.005847057029,27.0111950111795,21.004037266596,19.7799509732474,40.009241349322
"ENSMUSG00000038351",153.00028160241,525,313,456,741,492,506,431.000362021545,427,363
"ENSMUSG00000038352",140.099737410551,41,6,42,35,87.1105389749527,6,10,19.0034912746333,30
"ENSMUSG00000038354",15,55,24,38,65,59,42,23,46,36
"ENSMUSG00000038357",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038365",654,340,972,442,506,450,278,220,291,245
"ENSMUSG00000038366",5697,2093,8539,2848,3054,2835,2075.98946976159,1507,1705,1491
"ENSMUSG00000038368",201.000165920548,443,279.000041718523,378,620,393,445,425,454,356.002510358635
"ENSMUSG00000038369",748,1355,1026,1070,1275,726,1063,1075,1142,948
"ENSMUSG00000038370",100,86,58,81,103,91,73,57,54,57
"ENSMUSG00000038371",591.00530669058,518,826.012122300033,487,594.000600534752,390,414.000423264424,344,511,466.029172276506
"ENSMUSG00000038372",1128,387,2774,649,705,946,620,483,481,324
"ENSMUSG00000038374",435.667975515557,502,637.604490183416,434,577.869194534078,646.992162949184,402.885386676773,312.958852403411,413.99438481078,348
"ENSMUSG00000038375",1074,4246,1744,3142,5210,3370,4073,3862,4041,3189
"ENSMUSG00000038379",48.002984986903,3,121,30,24,32,14.0736369239492,16.0001790969595,10,10
"ENSMUSG00000038383",313.280038582681,296.014535540854,582.174013374324,321.000477938555,443.000596661579,391.010049560477,311.000155819838,266.000207590812,266.510854755841,226.018974622875
"ENSMUSG00000038384",763.861766078353,1150.31210901432,1007.74062864461,797.130814581253,1112.9450637847,563.133194185921,822.197625467989,824.182809609666,912.984281325565,810.233800754985
"ENSMUSG00000038387",118,118,128,120,146,171,150,87,93,98
"ENSMUSG00000038388",203,282.000390388049,247,190.000078675015,282.005844376677,298.000054468111,279.000471498279,190.000036613577,220.002484521785,254.00004242133
"ENSMUSG00000038390",17,28,16,32,55,43,31,28,35,26
"ENSMUSG00000038393",3962,6809.7883326177,4663,6361,7813,5721,11036,8781,8473,15039
"ENSMUSG00000038398",207.539727217965,206.423466267001,263.604103839946,184.001776530011,217.919158561295,248.114373066777,227.610212126112,149.493954733719,155.232329366232,162.632044882166
"ENSMUSG00000038400",133,198,199,159,212,202,136,121,122,138
"ENSMUSG00000038402",7.00049623206489,5.65102803940266,6.00039036372886,0,5.00075427718631,7.00057736381453,0,2.00011186195796,0,1.00003256840331
